0;1;3;5;7
5;3.104;1.573;1.074;0.942
15;3.479;1.928;1.275;1.023
25;3.610;2.127;1.435;1.130
35;3.716;2.176;1.487;1.171
45;3.726;2.181;1.502;1.192
