#U-Thermoelement in mV,#U-saeule in mV,#T_D in °C
1.21,0.25,1.1
2.04,0.62,1.1
2.61,0.89,1.1
2.89,1.03,1.1
3.11,1.16,1.1
3.31,1.27,1.1
3.45,1.36,1.1
3.59,1.44,1.1
3.71,1.51,1.1
3.82,1.58,1.1
3.91,1.64,1.1
4.01,1.76,1.2
4.08,1.76,1.2
4.16,1.81,1.2
4.23,1.85,1.2
4.3,1.9,1.2
4.36,1.94,1.2
4.42,1.99,1.2
4.48,2.03,1.2
4.53,2.06,1.2
4.58,2.1,1.2
4.63,2.14,1.2
4.68,2.17,1.2
