#U-Thermoelement in mV,#U-saeule in mV,#T_D in °C
2.15,1.26,1
2.8,1.77,1.1
3.05,1.98,1.1
3.25,2.18,1.1
3.4,2.34,1.1
3.53,2.49,1.1
3.65,2.61,1.1
3.7,2.74,1.1
3.89,2.85,1.1
3.98,2.94,1.1
4.07,3.04,1.1
4.16,3.13,1.1
4.24,3.21,1.1
4.31,3.24,1.1
4.38,3.36,1.1
4.44,3.43,1.1
4.51,3.49,1.1
4.57,3.55,1.1
4.62,3.61,1.1
4.68,3.67,1.1
4.73,3.72,1.1
4.78,3.78,1.1
4.82,3.83,1.1
