#U-Thermoelement in mV,#U-saeule in mV,#T_D in °C
1.01,0.07,1.3
1.61,0.76,1.3
2.36,1.4,1.3
2.75,1.77,1.3
3.02,2.04,1.3
3.24,2.27,1.4
3.42,2.45,1.4
3.57,2.61,1.4
3.7,2.75,1.4
3.81,2.88,1.4
3.92,3.01,1.4
4.02,3.11,1.4
4.11,3.21,1.4
4.19,3.31,1.4
4.27,3.4,1.4
4.34,3.47,1.4
4.41,3.56,1.4
4.47,3.63,1.4
4.53,3.7,1.4
4.59,3.77,1.4
4.64,3.83,1.4
4.7,3.9,1.4
4.75,3.96,1.4
