#U-Thermoelement in mV,#U-saeule in mV,#T_D in °C
1.16,0.25,1.2
1.82,0.89,1.2
2.35,1.34,1.2
2.88,1.77,1.2
3.18,2.04,1.2
3.4,2.25,1.2
3.58,2.42,1.2
3.73,2.57,1.2
3.87,2.7,1.2
3.98,2.81,1.2
4.08,2.92,1.2
4.17,3.01,1.2
4.25,3.09,1.3
4.33,3.17,1.3
4.4,3.25,1.3
4.46,3.32,1.3
4.53,3.38,1.3
4.58,3.44,1.3
4.64,3.5,1.3
4.69,3.56,1.3
4.74,3.61,1.3
4.79,3.66,1.3
4.84,3.72,1.3
