# I_H in A,I_S in myA
2.49,1
2.51,3
2.52,5
2.55,13
2.56,17
2.57,20
2.58,24
2.6,29
2.61,30
2.63,32
2.65,35
2.67,36
2.69,39
2.7,41
2.74,46
2.78,50
