# I_H in A,I_S in myA
2.5,0
2.54,1
2.55,2
2.56,3
2.57,5
2.58,7
2.6,12
2.62,25
2.64,42
2.65,52
2.66,56
2.68,59
2.72,64
2.73,66
2.75,71
