# U_W in V,I_S in myA
0,49
0.31,43
0.61,43
0.91,42
1.22,42
1.5,41
1.8,39
2.1,38
2.41,36
2.69,34
3.01,32
3.28,31
3.5,29
3.83,27
4.1,25
4.39,23
4.68,21
5.01,19
5.29,17
5.62,15
5.93,13
6.22,11
6.5,9
6.78,7
7.05,5
7.36,3
7.75,2
7.92,1
8.38,0
