# I_H in A,I_S in myA
2.5,1
2.52,2
2.55,6
2.56,7
2.58,14
2.59,17
2.6,20
2.61,25
2.63,29
2.65,31
2.68,34
2.7,36
2.73,41
2.75,43
2.78,47
