# U_W in V,I_S in myA
0,66
0.28,64
0.58,62
0.94,59
1.22,57
1.52,54
1.81,52
2.07,50
2.42,46
2.73,43
2.99,41
3.31,38
3.63,35
3.88,33
4.18,30
4.49,27
4.81,25
5.8,22
5.39,20
5.69,17
6,15
6.29,12
6.61,10
6.91,8
7.18,6
7.52,4
7.78,3
8.11,1
8.51,0
