# ,Area,Mean,Min,Max,X,Y,Major,Minor,Angle
1,0,75,75,75,26.000,156.000,1.128,1.128,0
2,0,87,87,87,129.500,156.500,1.128,1.128,0
3,0,83,83,83,154.500,156.500,1.128,1.128,0
4,0,85,85,85,176.500,154.500,1.128,1.128,0
5,0,83,83,83,193.500,154.500,1.128,1.128,0
6,0,79,79,79,211.500,155.500,1.128,1.128,0
7,0,79,79,79,225.500,157.500,1.128,1.128,0
8,0,74,74,74,239.500,159.500,1.128,1.128,0
9,0,66,66,66,254.500,155.500,1.128,1.128,0
10,0,70,70,70,265.500,154.500,1.128,1.128,0
11,0,71,71,71,276.500,155.500,1.128,1.128,0
12,0,70,70,70,288.500,148.500,1.128,1.128,0
13,0,66,66,66,298.500,148.500,1.128,1.128,0
14,0,60,60,60,310.500,140.500,1.128,1.128,0
15,0,62,62,62,320.500,134.500,1.128,1.128,0
16,0,59,59,59,329.500,135.500,1.128,1.128,0
17,0,61,61,61,338.500,129.500,1.128,1.128,0
