# ,Area,Mean,Min,Max,X,Y,Major,Minor,Angle
1,0,149,149,149,42.632,155.960,1.128,1.128,0
2,0,146,146,146,118.466,150.322,1.128,1.128,0
3,0,146,146,146,151.732,145.248,1.128,1.128,0
4,0,143,143,143,178.795,141.019,1.128,1.128,0
5,0,145,145,145,199.657,136.227,1.128,1.128,0
6,0,140,140,140,217.981,133.690,1.128,1.128,0
7,0,138,138,138,236.305,140.455,1.128,1.128,0
8,0,135,135,135,251.810,141.583,1.128,1.128,0
9,0,137,137,137,267.033,141.019,1.128,1.128,0
10,0,131,131,131,280.001,141.019,1.128,1.128,0
11,0,127,127,127,293.251,141.301,1.128,1.128,0
12,0,125,125,125,305.655,139.892,1.128,1.128,0
13,0,120,120,120,317.495,139.610,1.128,1.128,0
14,0,117,117,117,328.772,138.200,1.128,1.128,0
15,0,114,114,114,339.766,137.354,1.128,1.128,0
