# ,Area,Mean,Min,Max,X,Y,Major,Minor,Angle
1,0,75,75,75,164.982,143.838,1.128,1.128,0
2,0,109,109,109,188.098,142.711,1.128,1.128,0
3,0,108,108,108,199.939,139.610,1.128,1.128,0
4,0,99,99,99,208.114,137.354,1.128,1.128,0
5,0,101,101,101,215.726,135.945,1.128,1.128,0
6,0,104,104,104,222.209,143.838,1.128,1.128,0
7,0,99,99,99,227.566,143.556,1.128,1.128,0
8,0,106,106,106,233.204,145.812,1.128,1.128,0
9,0,108,108,108,237.996,144.120,1.128,1.128,0
10,0,103,103,103,242.507,144.966,1.128,1.128,0
11,0,108,108,108,247.018,144.966,1.128,1.128,0
12,0,113,113,113,250.682,143.838,1.128,1.128,0
