# ,Area,Mean,Min,Max,X,Y,Major,Minor,Angle
1,0,77,77,77,35.021,155.397,1.128,1.128,0
2,0,78,78,78,105.780,153.423,1.128,1.128,0
3,0,78,78,78,139.046,151.450,1.128,1.128,0
4,0,74,74,74,163.854,150.322,1.128,1.128,0
5,0,78,78,78,185.843,147.221,1.128,1.128,0
6,0,65,65,65,202.476,146.939,1.128,1.128,0
7,0,75,75,75,220.518,145.248,1.128,1.128,0
8,0,71,71,71,235.459,144.402,1.128,1.128,0
9,0,80,80,80,250.119,142.993,1.128,1.128,0
10,0,68,68,68,263.368,143.838,1.128,1.128,0
11,0,64,64,64,275.491,141.865,1.128,1.128,0
12,0,70,70,70,287.895,140.173,1.128,1.128,0
13,0,65,65,65,299.453,137.918,1.128,1.128,0
14,0,59,59,59,306.501,98.451,1.128,1.128,0
15,0,59,59,59,316.650,94.786,1.128,1.128,0
16,0,55,55,55,326.516,89.430,1.128,1.128,0
17,0,55,55,55,339.766,115.083,1.128,1.128,0
