# ,Area,Mean,Min,Max,X,Y,Major,Minor,Angle
1,0,112,112,112,33.000,163.000,1.128,1.128,0
2,0,135,135,135,75.500,162.500,1.128,1.128,0
3,0,134,134,134,104.500,163.500,1.128,1.128,0
4,0,134,134,134,130.500,162.500,1.128,1.128,0
5,0,133,133,133,145.500,158.500,1.128,1.128,0
6,0,132,132,132,164.500,160.500,1.128,1.128,0
7,0,132,132,132,176.500,159.500,1.128,1.128,0
8,0,130,130,130,192.500,158.500,1.128,1.128,0
9,0,128,128,128,202.500,155.500,1.128,1.128,0
10,0,127,127,127,215.500,152.500,1.128,1.128,0
11,0,124,124,124,224.500,152.500,1.128,1.128,0
12,0,117,117,117,237.500,152.500,1.128,1.128,0
13,0,122,122,122,244.500,152.500,1.128,1.128,0
14,0,121,121,121,255.500,154.500,1.128,1.128,0
15,0,120,120,120,262.500,157.500,1.128,1.128,0
16,0,105,105,105,274.500,148.500,1.128,1.128,0
17,0,116,116,116,279.500,147.500,1.128,1.128,0
18,0,113,113,113,289.304,141.019,1.128,1.128,0
19,0,109,109,109,296.352,139.328,1.128,1.128,0
20,0,104,104,104,304.527,136.509,1.128,1.128,0
21,0,107,107,107,311.575,135.099,1.128,1.128,0
22,0,107,107,107,318.905,133.971,1.128,1.128,0
23,0,100,100,100,325.389,133.690,1.128,1.128,0
24,0,101,101,101,333.282,133.971,1.128,1.128,0
25,0,101,101,101,339.202,132.844,1.128,1.128,0
26,0,95,95,95,345.686,131.716,1.128,1.128,0
27,0,90,90,90,347.096,86.047,1.128,1.128,0
