# ,Area,Mean,Min,Max,X,Y,Major,Minor,Angle
1,0,61,61,61,38.122,154.833,1.128,1.128,0
2,0,73,73,73,77.025,154.551,1.128,1.128,0
3,0,75,75,75,121.849,152.859,1.128,1.128,0
4,0,66,66,66,151.732,153.141,1.128,1.128,0
5,0,68,68,68,174.567,154.551,1.128,1.128,0
6,0,68,68,68,194.300,155.115,1.128,1.128,0
7,0,65,65,65,211.497,156.524,1.128,1.128,0
8,0,67,67,67,228.412,156.806,1.128,1.128,0
9,0,65,65,65,242.789,156.242,1.128,1.128,0
10,0,63,63,63,257.448,157.652,1.128,1.128,0
11,0,59,59,59,268.725,157.652,1.128,1.128,0
12,0,55,55,55,281.411,147.221,1.128,1.128,0
13,0,63,63,63,293.251,143.838,1.128,1.128,0
14,0,52,52,52,305.655,141.019,1.128,1.128,0
15,0,52,52,52,314.394,139.046,1.128,1.128,0
16,0,53,53,53,325.671,138.482,1.128,1.128,0
17,0,43,43,43,335.819,134.535,1.128,1.128,0
18,0,52,52,52,345.968,131.716,1.128,1.128,0
19,0,42,42,42,332.155,17.824,1.128,1.128,0
