# ,Area,Mean,Min,Max,X,Y,Major,Minor,Angle
1,0,213,213,213,173.439,143.838,1.128,1.128,0
2,0,222,222,222,196.556,139.892,1.128,1.128,0
3,0,204,204,204,208.114,137.918,1.128,1.128,0
4,0,200,200,200,217.417,136.509,1.128,1.128,0
5,0,209,209,209,225.029,134.253,1.128,1.128,0
6,0,209,209,209,230.949,132.280,1.128,1.128,0
7,0,206,206,206,236.587,130.307,1.128,1.128,0
8,0,206,206,206,241.943,130.588,1.128,1.128,0
9,0,200,200,200,247.300,130.870,1.128,1.128,0
10,0,198,198,198,251.810,132.562,1.128,1.128,0
11,0,193,193,193,256.321,131.434,1.128,1.128,0
12,0,186,186,186,260.549,129.461,1.128,1.128,0
13,0,195,195,195,264.214,128.051,1.128,1.128,0
14,0,195,195,195,267.597,126.642,1.128,1.128,0
15,0,181,181,181,271.544,125.796,1.128,1.128,0
