# ,Area,Mean,Min,Max,X,Y,Major,Minor,Angle
1,0,118,118,118,31.000,160.000,1.128,1.128,0
2,0,134,134,134,100.500,161.500,1.128,1.128,0
3,0,133,133,133,125.500,159.500,1.128,1.128,0
4,0,134,134,134,144.500,155.500,1.128,1.128,0
5,0,127,127,127,162.500,153.500,1.128,1.128,0
6,0,130,130,130,175.500,153.500,1.128,1.128,0
7,0,133,133,133,188.500,153.500,1.128,1.128,0
8,0,127,127,127,200.500,153.500,1.128,1.128,0
9,0,127,127,127,210.500,151.500,1.128,1.128,0
10,0,126,126,126,221.500,151.500,1.128,1.128,0
11,0,124,124,124,232.500,151.500,1.128,1.128,0
12,0,121,121,121,242.500,151.500,1.128,1.128,0
13,0,122,122,122,251.500,151.500,1.128,1.128,0
14,0,124,124,124,259.500,154.500,1.128,1.128,0
15,0,123,123,123,268.500,151.500,1.128,1.128,0
16,0,114,114,114,277.500,151.500,1.128,1.128,0
17,0,114,114,114,285.500,151.500,1.128,1.128,0
18,0,106,106,106,294.500,150.500,1.128,1.128,0
19,0,103,103,103,301.500,151.500,1.128,1.128,0
20,0,104,104,104,308.500,139.500,1.128,1.128,0
21,0,107,107,107,313.500,139.500,1.128,1.128,0
22,0,99,99,99,322.500,139.500,1.128,1.128,0
23,0,106,106,106,328.500,139.500,1.128,1.128,0
24,0,103,103,103,335.500,138.500,1.128,1.128,0
25,0,99,99,99,340.500,137.500,1.128,1.128,0
