# ,Area,Mean,Min,Max,X,Y,Major,Minor,Angle
1,0,93,93,93,32.500,160.500,1.128,1.128,0
2,0,164,164,164,87.500,162.500,1.128,1.128,0
3,0,166,166,166,135.500,161.500,1.128,1.128,0
4,0,164,164,164,167.500,159.500,1.128,1.128,0
5,0,158,158,158,193.500,156.500,1.128,1.128,0
6,0,157,157,157,217.500,155.500,1.128,1.128,0
7,0,143,143,143,238.500,155.500,1.128,1.128,0
8,0,134,134,134,257.500,153.500,1.128,1.128,0
9,0,140,140,140,272.500,152.500,1.128,1.128,0
10,0,132,132,132,290.500,151.500,1.128,1.128,0
11,0,125,125,125,305.500,149.500,1.128,1.128,0
12,0,130,130,130,318.500,147.500,1.128,1.128,0
13,0,120,120,120,333.500,148.500,1.128,1.128,0
14,0,118,118,118,346.500,149.500,1.128,1.128,0
