# ,Area,Mean,Min,Max,X,Y,Major,Minor,Angle
1,0,204,204,204,164.982,143.556,1.128,1.128,0
2,0,234,234,234,189.508,138.482,1.128,1.128,0
3,0,217,217,217,200.784,135.945,1.128,1.128,0
4,0,215,215,215,210.087,135.381,1.128,1.128,0
5,0,218,218,218,217.981,133.690,1.128,1.128,0
6,0,224,224,224,224.183,131.998,1.128,1.128,0
7,0,223,223,223,230.103,132.844,1.128,1.128,0
8,0,207,207,207,235.459,134.253,1.128,1.128,0
9,0,217,217,217,240.534,135.945,1.128,1.128,0
10,0,206,206,206,245.608,137.918,1.128,1.128,0
