# ,Area,Mean,Min,Max,X,Y,Major,Minor,Angle
1,0,75,75,75,160.471,142.147,1.128,1.128,0
2,0,209,209,209,179.359,139.328,1.128,1.128,0
3,0,201,201,201,196.556,136.227,1.128,1.128,0
4,0,196,196,196,207.550,132.844,1.128,1.128,0
5,0,188,188,188,216.571,129.743,1.128,1.128,0
6,0,187,187,187,224.183,126.924,1.128,1.128,0
7,0,188,188,188,230.949,125.232,1.128,1.128,0
8,0,170,170,170,237.151,123.541,1.128,1.128,0
9,0,183,183,183,242.507,119.876,1.128,1.128,0
10,0,167,167,167,247.863,117.903,1.128,1.128,0
11,0,169,169,169,253.220,117.339,1.128,1.128,0
12,0,159,159,159,260.267,132.280,1.128,1.128,0
13,0,160,160,160,265.060,132.844,1.128,1.128,0
14,0,165,165,165,269.570,133.126,1.128,1.128,0
15,0,152,152,152,273.517,131.998,1.128,1.128,0
