# ,Area,Mean,Min,Max,X,Y,Major,Minor,Angle
1,0,108,108,108,19.000,165.000,1.128,1.128,0
2,0,142,142,142,110.500,162.500,1.128,1.128,0
3,0,146,146,146,140.500,164.500,1.128,1.128,0
4,0,141,141,141,164.500,163.500,1.128,1.128,0
5,0,134,134,134,184.500,165.500,1.128,1.128,0
6,0,135,135,135,201.500,166.500,1.128,1.128,0
7,0,129,129,129,218.500,167.500,1.128,1.128,0
8,0,129,129,129,233.500,166.500,1.128,1.128,0
9,0,126,126,126,247.500,163.500,1.128,1.128,0
10,0,121,121,121,261.500,162.500,1.128,1.128,0
11,0,118,118,118,273.500,159.500,1.128,1.128,0
12,0,119,119,119,284.500,161.500,1.128,1.128,0
13,0,114,114,114,296.500,166.500,1.128,1.128,0
14,0,114,114,114,307.500,160.500,1.128,1.128,0
15,0,111,111,111,317.500,160.500,1.128,1.128,0
16,0,102,102,102,329.500,156.500,1.128,1.128,0
17,0,98,98,98,339.500,154.500,1.128,1.128,0
