# ,Area,Mean,Min,Max,X,Y,Major,Minor,Angle
1,0,98,98,98,160.471,142.429,1.128,1.128,0
2,0,172,172,172,159.907,126.078,1.128,1.128,0
3,0,168,168,168,159.625,116.211,1.128,1.128,0
4,0,170,170,170,159.625,104.371,1.128,1.128,0
5,0,163,163,163,159.625,99.578,1.128,1.128,0
6,0,143,143,143,158.216,91.685,1.128,1.128,0
7,0,164,164,164,157.934,87.456,1.128,1.128,0
8,0,156,156,156,157.652,81.254,1.128,1.128,0
9,0,155,155,155,157.370,78.153,1.128,1.128,0
10,0,118,118,118,121.849,87.456,1.128,1.128,0
11,0,107,107,107,119.876,84.919,1.128,1.128,0
12,0,160,160,160,157.370,72.233,1.128,1.128,0
13,0,152,152,152,157.652,69.978,1.128,1.128,0
14,0,133,133,133,159.343,64.621,1.128,1.128,0
15,0,158,158,158,159.343,62.084,1.128,1.128,0
