# ,Area,Mean,Min,Max,X,Y,Major,Minor,Angle
1,0,75,75,75,165.545,141.865,1.128,1.128,0
2,0,230,230,230,185.843,140.737,1.128,1.128,0
3,0,231,231,231,202.758,139.328,1.128,1.128,0
4,0,218,218,218,214.316,138.482,1.128,1.128,0
5,0,201,201,201,223.337,139.328,1.128,1.128,0
6,0,222,222,222,231.794,138.764,1.128,1.128,0
7,0,216,216,216,238.560,139.610,1.128,1.128,0
8,0,221,221,221,245.044,138.482,1.128,1.128,0
9,0,215,215,215,250.964,138.482,1.128,1.128,0
10,0,168,168,168,256.321,140.173,1.128,1.128,0
11,0,207,207,207,261.959,140.173,1.128,1.128,0
12,0,202,202,202,266.751,140.737,1.128,1.128,0
13,0,197,197,197,270.980,131.152,1.128,1.128,0
