# ,Area,Mean,Min,Max,X,Y,Major,Minor,Angle
1,0,166,166,166,173.721,142.993,1.128,1.128,0
2,0,191,191,191,172.593,132.562,1.128,1.128,0
3,0,194,194,194,171.747,119.030,1.128,1.128,0
4,0,194,194,194,169.774,111.137,1.128,1.128,0
5,0,189,189,189,167.237,104.935,1.128,1.128,0
6,0,178,178,178,171.747,99.578,1.128,1.128,0
7,0,176,176,176,173.157,95.068,1.128,1.128,0
8,0,166,166,166,173.439,90.557,1.128,1.128,0
9,0,185,185,185,174.285,86.329,1.128,1.128,0
10,0,174,174,174,171.747,82.664,1.128,1.128,0
11,0,177,177,177,172.593,79.281,1.128,1.128,0
