# ,Area,Mean,Min,Max,X,Y,Major,Minor,Angle
1,0,59,59,59,31.000,159.000,1.128,1.128,0
2,0,78,78,78,113.500,156.500,1.128,1.128,0
3,0,78,78,78,142.500,155.500,1.128,1.128,0
4,0,77,77,77,165.500,150.500,1.128,1.128,0
5,0,75,75,75,184.500,150.500,1.128,1.128,0
6,0,73,73,73,203.500,148.500,1.128,1.128,0
7,0,70,70,70,217.500,144.500,1.128,1.128,0
8,0,66,66,66,231.500,143.500,1.128,1.128,0
9,0,64,64,64,246.500,139.500,1.128,1.128,0
10,0,62,62,62,258.500,136.500,1.128,1.128,0
11,0,61,61,61,269.500,136.500,1.128,1.128,0
12,0,57,57,57,282.500,132.500,1.128,1.128,0
13,0,61,61,61,294.500,132.500,1.128,1.128,0
14,0,63,63,63,304.500,126.500,1.128,1.128,0
15,0,57,57,57,313.500,123.500,1.128,1.128,0
16,0,57,57,57,324.500,120.500,1.128,1.128,0
17,0,56,56,56,333.500,122.500,1.128,1.128,0
