# ,Area,Mean,Min,Max,X,Y,Major,Minor,Angle
1,0,109,109,109,44.888,153.141,1.128,1.128,0
2,0,133,133,133,130.588,152.578,1.128,1.128,0
3,0,131,131,131,144.966,152.578,1.128,1.128,0
4,0,136,136,136,161.599,151.168,1.128,1.128,0
5,0,132,132,132,171.466,150.040,1.128,1.128,0
6,0,133,133,133,185.843,147.503,1.128,1.128,0
7,0,130,130,130,193.455,144.120,1.128,1.128,0
8,0,130,130,130,206.422,152.014,1.128,1.128,0
9,0,129,129,129,213.470,150.604,1.128,1.128,0
10,0,124,124,124,224.465,150.040,1.128,1.128,0
11,0,129,129,129,230.949,150.604,1.128,1.128,0
12,0,124,124,124,241.379,151.168,1.128,1.128,0
13,0,124,124,124,246.736,150.886,1.128,1.128,0
14,0,124,124,124,257.166,150.040,1.128,1.128,0
15,0,124,124,124,261.959,151.168,1.128,1.128,0
16,0,122,122,122,270.698,141.301,1.128,1.128,0
17,0,120,120,120,275.773,141.019,1.128,1.128,0
18,0,117,117,117,285.076,140.737,1.128,1.128,0
19,0,117,117,117,288.740,138.482,1.128,1.128,0
20,0,115,115,115,297.480,153.141,1.128,1.128,0
21,0,113,113,113,301.708,154.269,1.128,1.128,0
