#f in Hz ,Uin in V,Uout in V
18.1,42,7.5
32.4,42,12.8
55.7,42,19.2
100.8,42,28
180.3,42,33.6
320.2,40,36
550.5,40,37.6
1009,40,40
1657,40,40
2647,40,37.4
4223,44,38.4
7007,44,36.8
11007,44,33.6
19567,46,27.2
31312,46,20.8
51546,46,13.6
84990,46,7
100740,46,5
