#d_gb in cm,g_1 in cm,g_2 in cm
104,41.6,63.95
106,40.35,67.45
108,39.25,70.45
110,38.55,72.75
112,37.95,75.8
114,37.55,78.2
116,36.8,80.5
118,36.3,83.3
120,35.65,85.5
122,35.3,88
