#t in mys,U in (1/10)V
0,6.48
100,-5.84
200,3.76
290,-3.92
390,2.64
490,-2.64
590,1.84
680,-1.84
780,1.36
880,-1.28
970,0.96
1070,-0.88
1170,0.64
1270,-0.56
1360,0.48
1460,-0.4
1560,0.32
1660,-0.24
