#
#
#
#t (s);#V (mV)
-0.01;-2.791E-02
0.99;-3.360E-02
1.99;-3.911E-02
2.99;-4.436E-02
3.99;-4.962E-02
4.99;-5.471E-02
5.99;-5.997E-02
6.99;-6.550E-02
7.99;-7.053E-02
8.99;-7.551E-02
10.00;-8.095E-02
11.00;-8.615E-02
12.00;-9.117E-02
13.00;-9.607E-02
14.00;-1.012E-01
15.00;-1.063E-01
16.00;-1.107E-01
17.00;-1.159E-01
18.00;-1.208E-01
19.00;-1.256E-01
20.00;-1.304E-01
21.00;-1.353E-01
22.00;-1.397E-01
23.00;-1.447E-01
24.00;-1.490E-01
25.00;-1.536E-01
26.00;-1.581E-01
27.01;-1.629E-01
28.01;-1.673E-01
29.01;-1.715E-01
30.01;-1.760E-01
31.01;-1.802E-01
32.01;-1.845E-01
33.01;-1.890E-01
34.01;-1.927E-01
35.01;-1.968E-01
36.01;-2.013E-01
37.01;-2.051E-01
38.01;-2.093E-01
39.01;-2.129E-01
40.01;-2.168E-01
41.01;-2.207E-01
42.01;-2.246E-01
43.03;-2.284E-01
44.03;-2.321E-01
45.03;-2.355E-01
46.04;-2.395E-01
47.04;-2.433E-01
48.04;-2.470E-01
49.04;-2.505E-01
50.04;-2.541E-01
51.04;-2.576E-01
52.04;-2.608E-01
53.04;-2.646E-01
54.04;-2.678E-01
55.04;-2.713E-01
56.04;-2.747E-01
57.04;-2.777E-01
58.04;-2.808E-01
59.04;-2.842E-01
60.04;-2.875E-01
61.04;-2.902E-01
62.04;-2.935E-01
63.04;-2.965E-01
64.04;-2.996E-01
65.04;-3.028E-01
66.05;-3.058E-01
67.05;-3.088E-01
68.05;-3.116E-01
69.05;-3.143E-01
70.05;-3.172E-01
71.05;-3.197E-01
72.05;-3.228E-01
73.05;-3.254E-01
74.05;-3.279E-01
75.05;-3.308E-01
76.05;-3.332E-01
77.05;-3.360E-01
78.05;-3.387E-01
79.05;-3.410E-01
80.05;-3.437E-01
81.05;-3.461E-01
82.05;-3.484E-01
83.05;-3.490E-01
84.05;-3.300E-01
85.05;-2.893E-01
86.05;-2.328E-01
87.05;-1.641E-01
88.05;-8.810E-02
89.05;-6.915E-03
90.05;7.805E-02
91.05;1.649E-01
92.05;2.526E-01
93.07;3.422E-01
94.07;4.301E-01
95.07;5.175E-01
96.07;6.039E-01
97.08;6.900E-01
98.08;7.740E-01
99.08;8.558E-01
100.08;9.359E-01
101.08;1.014E+00
102.08;1.090E+00
103.08;1.165E+00
104.08;1.237E+00
105.08;1.308E+00
106.08;1.377E+00
107.08;1.443E+00
108.08;1.508E+00
109.08;1.571E+00
110.08;1.632E+00
111.08;1.691E+00
112.08;1.749E+00
113.08;1.804E+00
114.09;1.859E+00
115.09;1.911E+00
116.09;1.962E+00
117.09;2.011E+00
118.09;2.058E+00
119.09;2.104E+00
120.09;2.148E+00
121.09;2.191E+00
122.09;2.233E+00
123.09;2.273E+00
124.09;2.311E+00
125.09;2.349E+00
126.09;2.385E+00
127.09;2.420E+00
128.09;2.453E+00
129.09;2.486E+00
130.09;2.517E+00
131.09;2.548E+00
132.10;2.578E+00
133.10;2.606E+00
134.10;2.634E+00
135.10;2.660E+00
136.10;2.686E+00
137.10;2.711E+00
138.10;2.735E+00
139.10;2.757E+00
140.10;2.780E+00
141.10;2.801E+00
142.10;2.822E+00
143.10;2.842E+00
144.10;2.861E+00
145.10;2.880E+00
146.10;2.898E+00
147.10;2.915E+00
148.10;2.932E+00
149.10;2.948E+00
150.10;2.963E+00
151.10;2.978E+00
152.10;2.993E+00
153.10;3.007E+00
154.10;3.020E+00
155.10;3.033E+00
156.10;3.046E+00
157.10;3.058E+00
158.10;3.069E+00
159.10;3.080E+00
160.10;3.091E+00
161.10;3.102E+00
162.10;3.112E+00
163.10;3.121E+00
164.10;3.131E+00
165.10;3.139E+00
166.10;3.148E+00
167.10;3.157E+00
168.10;3.164E+00
169.10;3.172E+00
170.10;3.179E+00
171.10;3.186E+00
172.10;3.193E+00
173.10;3.199E+00
174.10;3.206E+00
175.10;3.212E+00
176.10;3.218E+00
177.10;3.223E+00
178.10;3.228E+00
179.10;3.233E+00
180.10;3.238E+00
181.10;3.243E+00
182.10;3.247E+00
183.10;3.252E+00
184.10;3.256E+00
185.10;3.260E+00
186.10;3.264E+00
187.10;3.267E+00
188.10;3.271E+00
189.10;3.274E+00
190.10;3.277E+00
191.10;3.280E+00
192.10;3.283E+00
193.10;3.286E+00
194.10;3.288E+00
195.11;3.291E+00
196.11;3.293E+00
197.11;3.295E+00
198.12;3.298E+00
199.12;3.299E+00
200.12;3.299E+00
201.12;3.298E+00
202.12;3.297E+00
203.12;3.296E+00
204.12;3.294E+00
205.12;3.292E+00
206.12;3.290E+00
207.12;3.289E+00
208.12;3.286E+00
209.12;3.284E+00
210.12;3.281E+00
211.12;3.279E+00
212.12;3.276E+00
213.14;3.273E+00
214.14;3.271E+00
215.14;3.268E+00
216.14;3.268E+00
217.14;3.268E+00
218.14;3.268E+00
219.14;3.269E+00
220.14;3.270E+00
221.14;3.272E+00
222.14;3.274E+00
223.14;3.276E+00
224.14;3.278E+00
225.14;3.281E+00
226.14;3.283E+00
227.14;3.285E+00
228.14;3.287E+00
229.14;3.288E+00
230.15;3.288E+00
231.15;3.288E+00
232.16;3.288E+00
233.16;3.288E+00
234.16;3.288E+00
235.16;3.286E+00
236.16;3.285E+00
237.16;3.283E+00
238.16;3.281E+00
239.16;3.279E+00
240.16;3.276E+00
241.16;3.273E+00
242.16;3.270E+00
243.16;3.266E+00
244.16;3.263E+00
245.16;3.260E+00
246.16;3.256E+00
247.16;3.253E+00
248.16;3.249E+00
249.16;3.245E+00
250.16;3.241E+00
251.16;3.237E+00
252.16;3.232E+00
253.18;3.228E+00
254.19;3.223E+00
255.21;3.220E+00
256.21;3.216E+00
257.21;3.213E+00
258.21;3.210E+00
259.21;3.207E+00
260.21;3.204E+00
261.21;3.201E+00
262.21;3.199E+00
