0;1;3;5;7
5;2.115;1.750;1.477;1.284
15;2.140;1.809;1.563;1.385
25;2.170;1.860;1.626;1.443
35;2.178;1.858;1.628;1.459
45;2.174;1.860;1.632;1.460
