#theta in °,#U in mV,#delU in mV
0,56,0.5
2,34,0.5
4,2.9,0.05
6,2.7,0.05
8,2.4,0.05
10,0.46,0.005
12,0.42,0.005
14,0.22,0.005
16,0.21,0.005
18,0.23,0.005
20,0.41,0.005
22,0.35,0.005
24,0.42,0.005
26,0.32,0.05
28,1.7,0.03
30,5.2,0.05
32,9.8,0.05
34,7.7,0.05
36,1.9,0.015
38,1.2,0.015
40,0.55,0.005
42,0.1,0.005
44,0.1,0.005
