#t_feld in s,#t_frei in s
11.42,37.8
8.99,45.36
6.36,27.98
26.95,39.68
7.75,28.9
23.3,11.99
2.9,33.93
17.88,24.98
9.34,23.87
10.52,34.61
33.75,34.48
11.01,21.59
9.23,9.69
6.79,53.54
2.72,25.39
