#t_feld in s,#t_frei in s
7.24,9.65
7.37,25.56
2.84,4.75
6.81,11.09
34.15,6.06
8.47,22.2
10.49,32.67
6.47,29.62
6.2,31.03
8.27,15.92
10.96,7.49
9.3,29.24
11.83,15.09
7.63,20.28
14.5,26.78
