#t_feld in s,#t_frei in s
8.63,28.36
21.02,14.07
10.01,42.82
8.32,8.45
13.01,23.11
5.68,13.49
13.96,22.75
15.23,35.29
6.79,6.74
3.96,15.67
8.97,21.51
16.25,11.97
7.58,18.65
18.36,6.42
5.38,22.18
