21.2,0.05,5.8,0.005
25,0.05,5,0.005
30,0.05,4.14,0.005
35,0.05,3.43,0.005
41.2,0.05,2.74,0.005
45,0.05,2.41,0.005
50,0.05,2.03,0.005
55,0.05,1.701,0.0005
60,0.05,1.466,0.0005
65.1,0.05,1.244,0.0005
70,0.05,1.072,0.0005
75,0.05,0.926,0.0005
80,0.05,0.802,0.0005
85,0.05,0.696,0.0005
90,0.05,0.605,0.0005
