59.22	59.35	59.02	58.91	58.85	58.45	58.31	57.95	57.63	57.47	57.18	57.00	56.63	56.34	56.34	56.03	55.74	55.61	55.19	54.97	54.75	54.57	54.44	53.85	53.56	53.23	52.72	52.72	52.37	52.03	51.88	51.73	51.19	51.09	50.65	50.53	50.40	50.09	49.79	49.59	49.26	49.08	48.82	48.57	48.28	48.09	47.95	47.80	47.56	47.38	47.19	46.97	46.62	46.48	46.11	45.77	45.26	45.10	45.23	44.91	44.70	44.76	44.39	44.04	43.86	43.70	43.38	43.06	42.86	42.50	42.48	42.11	42.02	41.62	41.45	41.01	41.18	41.03	40.72	40.64	40.33	40.25	40.16	39.92	39.69	39.38	39.35	39.13	38.92	38.78	38.58	38.34	38.22	37.90	37.64	37.52	37.28	36.90	36.78	36.19	36.38	36.02	35.96	35.71	35.47	35.10	34.78	34.65	34.56	34.20	33.95	33.53	33.09	32.74
#Tmin:	27																																																																																																																
#Tmax:	60																																																																																																																
#Camera:	FLIR E5 Wifi																																																																																																																
#Group:	11	3	2020																																																																																																														
#Time:	11	3	2020 14:09																																																																																																														
#Messbereich:	18																																																																																																																
