# t/s,T/øC
-300,41.5
-270,41.5
-240,41.3
-210,41.2
-180,41.2
-150,41.2
-120,41.2
-90,41.2
-60,41.1
-30,41.1
0,35
30,31.5
60,30.9
90,30.9
120,30.9
150,30.9
180,30.9
210,30.9
240,30.9
270,30.9
300,30.9
330,30.9
360,30.9
390,30.9
420,30.9
