#Zeit t in s,Amplitude A in Skt
0.4425,-75
1.3275,66
2.2125,-60
3.0975,53
3.9825,-47
4.8675,42
5.7525,-38
6.6375,33
7.5225,-30
8.4075,26
9.2925,-22
10.1775,21
11.0625,-18
11.9475,17
12.8325,-14
13.7175,12
14.6025,-10
15.4875,9
16.3725,-8
17.2575,7
18.1425,-5
19.0275,4
19.9125,-3
20.7975,3
