# V in cmÅ,p in 10^5 Pa
4,22.25
3.8,23.25
3.6,24
3.4,25
3.2,26
3,27
2.8,28.25
2.6,29
2.4,30.25
2.2,31.5
2,32.5
1.9,32.75
1.8,32.75
1.7,32.75
1.6,32.75
1.5,32.75
1.4,32.75
1.3,32.75
1.2,33
1.1,33.25
1,33.25
0.95,33.5
0.9,33.5
0.85,34
0.8,35
0.75,44
