# t/s,T/øC
-300,19.2
-270,19.1
-240,19.1
-210,19.2
-180,19.2
-150,19.1
-120,19.2
-90,19.3
-60,19.2
-30,19.2
0,19.7
30,19.9
60,19.9
90,20.3
120,20.7
150,20.8
180,20.9
210,21
240,21.1
270,21.1
300,21.1
330,21.1
360,21.1
390,21.1
420,21.1
450,21.1
480,21.1
510,21.1
540,21.1
570,21.1
600,21.1
