# t/s,T/øC
-300,30.9
-270,30.9
-240,30.9
-210,30.9
-180,30.9
-150,30.9
-120,30.9
-90,30.9
-60,30.9
-30,30.9
0,28.7
30,24.5
60,22.7
90,22.2
120,22.2
150,22.3
180,22.3
210,22.4
240,22.4
270,22.4
300,22.4
330,22.4
360,22.4
390,22.4
420,22.4
