# V in cmÅ,p in 10^5 Pa
4,23.25
3.8,24.25
3.6,25
3.4,26
3.2,27.25
3,28.5
2.8,29.5
2.6,30.75
2.4,32.25
2.2,33.5
2,34.75
1.9,35.25
1.8,35.75
1.7,36
1.6,36.75
1.5,37
1.4,37.25
1.3,37.5
1.2,37.5
1.1,37.75
1,37.75
0.95,37.75
0.9,38
0.85,38.25
0.8,40.75
0.75,45.75
