# V in cmü,p in 10^5 Pa
4,21.25
3.8,22
3.6,22.75
3.4,23.5
3.2,24.25
3,25.25
2.8,26
2.6,26.75
2.4,26.75
2.2,26.75
2,26.75
1.9,26.75
1.8,26.75
1.7,26.75
1.6,26.75
1.5,26.75
1.4,26.75
1.3,26.75
1.2,27
1.1,27
1,27.25
0.95,27.25
0.9,27.5
0.85,27.75
0.8,28
0.75,28.5
0.7,31
0.65,48.25
