# t/s,T/øC
-300,18.4
-270,18.4
-240,18.4
-210,18.4
-180,18.4
-150,18.4
-120,18.4
-90,18.4
-60,18.4
-30,18.4
0,18.6
30,18.9
60,21.4
90,21.5
120,21.4
150,21.4
180,21.4
210,21.4
240,21.4
270,21.4
300,21.4
330,21.4
360,21.4
390,21.4
420,21.4
