# t/s,T/øC
-300,18.7
-270,18.7
-240,18.7
-210,18.7
-180,18.7
-150,18.7
-120,18.7
-90,18.7
-60,18.7
-30,18.7
0,18.7
30,19.7
60,20.4
90,21.5
120,21.8
150,21.9
180,22
210,22
240,22
270,21.9
300,21.9
330,22
360,21.9
390,21.9
420,21.9
450,21.9
480,21.9
510,21.9
540,21.9
570,21.9
600,21.9
