#Zeit t in s,Amplitude A in Skt
0.4425,-85
1.3275,74
2.2125,-69
3.0975,65
3.9825,-61
4.8675,60
5.7525,-56
6.6375,52
7.5225,-49
8.4075,46
9.2925,-43
10.1775,41
11.0625,-40
11.9475,38
12.8325,-34
13.7175,34
14.6025,-32
15.4875,30
16.3725,-26
17.2575,25
18.1425,-23
19.0275,22
19.9125,-21
