40.64	40.71	40.85	40.62	40.37	40.37	40.39	40.22	40.09	39.99	39.90	39.67	39.68	39.53	39.43	39.35	39.02	38.99	38.80	38.86	38.51	38.50	38.46	38.33	38.20	38.12	38.19	38.00	37.80	37.75	37.69	37.59	37.50	37.38	37.44	37.27	37.09	37.00	36.96	36.66	36.69	36.63	36.61	36.51	36.36	36.13	36.28	36.09	35.91	36.05	35.80	35.93	35.62	35.70	35.62	35.59	35.50	35.35	35.17	35.27	34.91	34.87	34.89	34.83	34.59	34.58	34.53	34.44	34.52	34.35	34.27	34.15	33.94	33.93	33.78	33.74	33.73	33.53	33.48	33.53	33.23	33.17	33.11	33.22	33.00	32.93	32.81	32.60	32.83	32.57	32.53	32.41	32.53	32.36	32.18	32.16	31.96	31.98	31.98	31.72	31.72	31.87	31.58	31.70	31.57	31.62	31.47	31.18	31.31	30.86	30.95	30.79	30.70
#Tmin:	29																																																																																																															
#Tmax:	43																																																																																																															
#Camera:	FLIR E5 Wifi																																																																																																															
#Group:	11.03.2020																																																																																																															
#Time:	11.03.2020 15:01																																																																																																															
#Messbereich:	18																																																																																																															
