42.80	42.74	42.24	42.18	41.90	41.97	41.64	41.64	41.68	41.45	41.41	41.25	41.38	41.10	40.86	40.89	40.71	40.66	40.45	40.29	40.20	40.12	40.00	39.91	39.55	39.43	39.29	39.26	39.17	38.99	38.76	38.66	38.80	38.45	38.37	38.44	38.13	38.16	37.86	37.85	37.80	37.60	37.56	37.61	37.25	37.30	37.28	36.96	36.90	36.69	36.81	36.69	36.55	36.50	36.15	36.20	36.13	36.03	35.88	35.71	35.55	35.55	35.42	35.34	35.23	35.11	35.10	34.94	34.65	34.59	34.60	34.59	34.54	34.33	34.22	34.13	34.09	33.77	33.81	33.64	33.77	33.47	33.39	33.15	33.03	33.05	33.12	32.90	32.88	32.77	32.61	32.61	32.60	32.41	32.37	32.35	32.30	32.09	32.00	32.08	31.77	31.80	31.79	31.64	31.27	31.58	31.46	31.49	31.12	31.02	31.14	30.70
#Tmin:	25																																																																																																														
#Tmax:	47																																																																																																														
#Camera:	FLIR E5 Wifi																																																																																																														
#Group:	11.03.2020																																																																																																														
#210/113=  Abstand T	11.03.2020 14:30																																																																																																														
#Messbereich:	19																																																																																																														
#210/113=  Abstand T																																																																																																															
#1.858mm																																																																																																															
