#Zeit t in s,Amplitude A in Skt
0.4425,-68
1.3275,56
2.2125,-44
3.0975,38
3.9825,-30
4.8675,24
5.7525,-20
6.6375,17
7.5225,-13
8.4075,11
9.2925,-8
10.1775,7
11.0625,-5
11.9475,4
12.8325,-3
13.7175,3
14.6025,-2
15.4875,2
16.3725,-1
17.2575,1
